# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: none,device (reha) 
# Tick mode: 1 (single ticks) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 214  215  214  215  223  223  220  205  223  222) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.173          nan        0.050          nan        1.000          nan        -3.00        -3.38 
           3       cafpas         beta       device          155        0.317          nan        0.104          nan        1.000          nan        -3.75        -3.38 
# 
# Parameter 8 CN 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.187          nan        0.046          nan        1.000          nan        -2.94        -3.08 
           3       cafpas         beta       device          155        0.277          nan        0.061          nan        1.000          nan        -3.23        -3.08 
# 
# Parameter 9 CC 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.112          nan        0.068          nan        1.000          nan        -3.22        -3.32 
           3       cafpas         beta       device          155        0.160          nan        0.079          nan        1.000          nan        -3.42        -3.32 
# 
# Parameter 10 CE 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         none           68        0.302          nan        0.111          nan        1.000          nan        -3.81        -3.81 
           3       cafpas         beta       device          155        0.289          nan        0.112          nan        1.000          nan        -3.81        -3.81 

# m = 4: cafpas (N_m = 223  223  223  223  223  223  223  223  223  223) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.102          nan        0.051          nan        1.000          nan        -2.97        -3.58 
           4       cafpas         beta       device          155        0.273          nan        0.180          nan        1.000          nan        -4.19        -3.58 
# 
# Parameter 2 CA2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.123          nan        0.056          nan        1.000          nan        -3.08        -3.63 
           4       cafpas         beta       device          155        0.339          nan        0.166          nan        1.000          nan        -4.18        -3.63 
# 
# Parameter 3 CA3 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.215          nan        0.111          nan        1.000          nan        -3.76        -3.88 
           4       cafpas         beta       device          155        0.506          nan        0.132          nan        1.000          nan        -4.00        -3.88 
# 
# Parameter 4 CA4 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.346          nan        0.188          nan        1.000          nan        -4.29        -4.01 
           4       cafpas         beta       device          155        0.676          nan        0.101          nan        1.000          nan        -3.72        -4.01 
# 
# Parameter 5 CU1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.164          nan        0.062          nan        1.000          nan        -3.21        -3.62 
           4       cafpas         beta       device          155        0.339          nan        0.139          nan        1.000          nan        -4.03        -3.62 
# 
# Parameter 6 CU2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
